year,STATE,DISTRICT,ASSESSMENT_UNIT,Recharge,Available,Extraction,Stage 
2016-17,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,,0.0,0.0,,
2016-17,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,,0.0,0.0,,
2016-17,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,,0.0,0.0,,
2016-17,ANDHRA PRADESH,Ananthapuramu,,30531.44,29004.72,1448.45,43.48
2016-17,ANDHRA PRADESH,Chittoor,,8846.2,8403.84,209.78,32.31
2016-17,ANDHRA PRADESH,East Godavari,,217863.75,206970.43,2450.2,19.15
2016-17,ANDHRA PRADESH,Guntur,,166582.52,158253.35,9829.08,28.08
2016-17,ANDHRA PRADESH,Krishna,,258428.97,245507.3,6794.82,27.21
2016-17,ANDHRA PRADESH,Kurnool,,129367.61,122898.92,480.71,14.41
2016-17,ANDHRA PRADESH,Prakasam,,49862.81,47369.41,804.35,24.69(%)
2016-17,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,,171304.49,162739.22,1670.76,22.56
2016-17,ANDHRA PRADESH,Srikakulam,,58186.8,55277.3,2425.53,16.84
2016-17,ANDHRA PRADESH,Visakhapatnam,,23749.47,22561.73,1262.6,12.3
2016-17,ANDHRA PRADESH,Vizianagaram,,108475.16,103051.01,348.14,10.04
2016-17,ANDHRA PRADESH,West Godavari,,91665.87,87082.66,913.12,8.16
2016-17,ANDHRA PRADESH,Y.S.R Kadapa,,67735.69,64348.75,1710.72,45.46
2016-17,ARUNACHAL PRADESH,ANJAW,,0.0,0.0,,
2016-17,ARUNACHAL PRADESH,CHANGLANG,,0.0,0.0,,
2016-17,ARUNACHAL PRADESH,DIBANG VALLEY,,0.0,0.0,,
2016-17,ARUNACHAL PRADESH,EAST KAMENG,,0.0,0.0,,
2016-17,ARUNACHAL PRADESH,EAST SIANG,,0.0,0.0,,
2016-17,ARUNACHAL PRADESH,KURUNG KUMEY,,0.0,0.0,,
2016-17,ARUNACHAL PRADESH,LOHIT,,0.0,0.0,,
